id,title,desc,location,type,when_raw,anytime,startDate,endDate,startTime,endTime
25,,Go to the Marching Band March Off (Friday night in Center Camp) and challenge the Sound Crew Lead to a thumb war.,Location of the adventure on the playa: Center Camp Cafe,fun,"Timeframe of the adventure (continuous, certain day, certain time, etc...): continuous",1,,,,
26,,"Get a group of at least five people and protest cassual nonchalance. Try to bring a megaphone or signs if possible. As passerbyes come along, vote each new one as the leader of your movement. Get them to protest casual nonchalance as well. Be sure to shout things like ""down with casual nonchalance"", ""we wont stand for casual nonchalance"", ""we stand in opposition of casual nonchalance"", or  rhyming/clever statements about casual nonchalance. ",The Copper Egg theme camp. In Sparkle Donkey Village at 9&D,fun,Weds at 11 AM,0,,,,
27,,Come to Broken Compass Theme Camp for dinner on Wednesday at sundown. Bring something cool. ,Broken Compass at 9&D in Sparkle Donkey Village,fun,Weds at sundown,0,,,,
28,,Ask someone you meet in deep playa to do a trade. they tell you a secret and you do an interpretive dance of it. ,deep playa,fun,any,1,,,,
29,,Ask for someone who is foxy. Share a dream with them,Broken Compass,fun,Tues AM,0,,,,
30,,Ask for Tygar. Pretend to find mistletoe. Give him your best holliday smooch. ,Miso Horny at 9&D,fun,Monday at 5 PM,0,,,,
31,,Is your playa-pickled pecker looking peakish? Get your cock glammed by the GlamCocks during the Naked Pub Crawl! You'll be the cock of the walk and the talk of the block all day!,Celestial Bodies,fun," Wednesday, around 1:00PM",0,,,,
32,,"1.) Find the black rock observatory in the deep playa after dark, approach one of the desert wizards of Mars and ask to see something from outer space!",12 0'clock behind the man,fun,"After dark falls, earlier in the week the better",0,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
